week,sessions,orders,sales,cvr,aov,add_to_cart_rate,checkout_rate,purchase_rate,cpa,roas,repeat_rate,memo
2022-W25,1801,4,84067,0.0022,21016,0.05,0.1778,0.25,,,,GA4自動取得
2022-W26,1899,11,100904,0.0058,9173,0.0658,0.216,0.4074,,,,GA4自動取得
2022-W27,1801,18,289495,0.01,16083,0.0822,0.2365,0.5143,,,,GA4自動取得
2022-W28,1816,12,183673,0.0066,15306,0.043,0.3462,0.4444,,,,GA4自動取得
2022-W29,2207,22,243043,0.01,11047,0.092,0.2512,0.4314,,,,GA4自動取得
2022-W30,1503,13,168133,0.0086,12933,0.0652,0.2143,0.619,,,,GA4自動取得
2022-W31,1694,13,179408,0.0077,13800,0.0378,0.3125,0.65,,,,GA4自動取得
2022-W32,1866,8,85806,0.0043,10725,0.052,0.268,0.3077,,,,GA4自動取得
2022-W33,2014,11,157177,0.0055,14288,0.0884,0.1629,0.3793,,,,GA4自動取得
2022-W34,2402,17,296612,0.0071,17447,0.0745,0.1955,0.4857,,,,GA4自動取得
2022-W35,2159,19,302203,0.0088,15905,0.0681,0.3129,0.413,,,,GA4自動取得
2022-W36,2216,12,198100,0.0054,16508,0.0799,0.1186,0.5714,,,,GA4自動取得
2022-W37,2269,16,277874,0.0071,17367,0.0833,0.2487,0.3404,,,,GA4自動取得
2022-W38,2350,9,161614,0.0038,17957,0.034,0.225,0.5,,,,GA4自動取得
2022-W39,2246,16,236438,0.0071,14777,0.0641,0.1875,0.5926,,,,GA4自動取得
2022-W40,2724,38,658669,0.014,17333,0.1777,0.157,0.5,,,,GA4自動取得
2022-W41,2821,37,499084,0.0131,13488,0.1712,0.1387,0.5522,,,,GA4自動取得
2022-W42,2577,5,79668,0.0019,15933,0.1544,0.0276,0.4545,,,,GA4自動取得
2022-W43,2591,0,0,0.0,0,0.1332,0.0,0.0,,,,GA4自動取得
2022-W44,2450,0,0,0.0,0,0.0857,0.0,0.0,,,,GA4自動取得
2022-W45,2420,0,0,0.0,0,0.114,0.0,0.0,,,,GA4自動取得
2022-W46,2538,0,0,0.0,0,0.0914,0.0,0.0,,,,GA4自動取得
2022-W47,4004,0,0,0.0,0,0.035,0.0,0.0,,,,GA4自動取得
2022-W48,3895,0,0,0.0,0,0.0257,0.0,0.0,,,,GA4自動取得
2022-W49,3963,0,0,0.0,0,0.0326,0.0,0.0,,,,GA4自動取得
2022-W50,4479,0,0,0.0,0,0.0286,0.0,0.0,,,,GA4自動取得
2022-W51,4098,0,0,0.0,0,0.0322,0.0,0.0,,,,GA4自動取得
2022-W52,4445,0,0,0.0,0,0.0153,0.0,0.0,,,,GA4自動取得
2023-W01,4724,0,0,0.0,0,0.0201,0.0,0.0,,,,GA4自動取得
2023-W02,3615,0,0,0.0,0,0.0219,0.0,0.0,,,,GA4自動取得
2023-W03,3615,0,0,0.0,0,0.0191,0.0,0.0,,,,GA4自動取得
2023-W04,2274,0,0,0.0,0,0.0237,0.0,0.0,,,,GA4自動取得
2023-W05,3399,0,0,0.0,0,0.05,0.0,0.0,,,,GA4自動取得
2023-W06,3500,0,0,0.0,0,0.0246,0.0,0.0,,,,GA4自動取得
2023-W07,4342,0,0,0.0,0,0.0117,0.0,0.0,,,,GA4自動取得
2023-W08,5096,0,0,0.0,0,0.0153,0.0,0.0,,,,GA4自動取得
2023-W09,4402,0,0,0.0,0,0.0148,0.0,0.0,,,,GA4自動取得
2023-W10,4409,0,0,0.0,0,0.0231,0.0,0.0,,,,GA4自動取得
2023-W11,4457,0,0,0.0,0,0.0184,0.0,0.0,,,,GA4自動取得
2023-W12,4708,0,0,0.0,0,0.0181,0.0,0.0,,,,GA4自動取得
2023-W13,4678,0,0,0.0,0,0.0244,0.0,0.0,,,,GA4自動取得
2023-W14,4938,0,0,0.0,0,0.0304,0.0,0.0,,,,GA4自動取得
2023-W15,4549,0,0,0.0,0,0.0273,0.0,0.0,,,,GA4自動取得
2023-W16,4798,0,0,0.0,0,0.0265,0.0,0.0,,,,GA4自動取得
2023-W17,2498,0,0,0.0,0,0.036,0.0,0.0,,,,GA4自動取得
2023-W18,3644,0,0,0.0,0,0.0324,0.0,0.0,,,,GA4自動取得
2023-W19,2526,0,0,0.0,0,0.0348,0.0,0.0,,,,GA4自動取得
2023-W20,2394,0,0,0.0,0,0.0464,0.0,0.0,,,,GA4自動取得
2023-W21,2685,0,0,0.0,0,0.0309,0.0,0.0,,,,GA4自動取得
2023-W22,2722,0,0,0.0,0,0.0235,0.0,0.0,,,,GA4自動取得
2023-W23,2789,0,0,0.0,0,0.0366,0.0,0.0,,,,GA4自動取得
2023-W24,2906,14,258184,0.0048,18441,0.0668,0.1392,0.5185,,,,GA4自動取得
2023-W25,3168,23,315620,0.0073,13722,0.0701,0.2117,0.4894,,,,GA4自動取得
2023-W26,3242,21,224920,0.0065,10710,0.045,0.3767,0.3818,,,,GA4自動取得
2023-W27,2959,18,250048,0.0061,13891,0.0842,0.1365,0.5294,,,,GA4自動取得
2023-W28,3023,13,237909,0.0043,18300,0.0427,0.1318,0.7647,,,,GA4自動取得
2023-W29,3076,11,199098,0.0036,18099,0.0816,0.1076,0.4074,,,,GA4自動取得
2023-W30,2715,20,300102,0.0074,15005,0.0832,0.2124,0.4167,,,,GA4自動取得
2023-W31,3849,17,239420,0.0044,14083,0.0444,0.193,0.5152,,,,GA4自動取得
2023-W32,3729,11,203859,0.0029,18532,0.0614,0.1965,0.2444,,,,GA4自動取得
2023-W33,3387,19,253966,0.0056,13366,0.1146,0.1443,0.3393,,,,GA4自動取得
